Series Name,"Country Name","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Population ages 00-04, female","Australia","622056","621323","619940","619445","619671","623119","632495","650785","672536","693088","705173","713164","726760","740722","749470","756432","762753","764054","759503","753772","746753","734609","735383","747844","760967"
"Population ages 00-04, female","Austria","204632","198711","194410","192841","192783","193672","194415","194154","193373","192562","191758","191591","192005","193175","195241","198944","203627","207657","210151","211377","211380","210550","209881","207461","203446"
"Population ages 00-04, female","Azerbaijan","313666","288455","270407","262872","267372","280448","297537","317244","338967","352473","356899","363214","373118","386959","401705","412928","413451","400360","376022","355995","343758","331353","319968","313004","304900"
"Population ages 00-04, female","Bahamas, The","14786","14425","14066","13741","13516","13424","13446","13568","13729","13897","13952","13842","13655","13433","13163","12872","12580","12216","11809","11413","11093","10894","10802","10769","10757"
"Population ages 00-04, female","Bahrain","32845","32247","32310","32865","34068","35834","38035","40474","42039","43276","44455","43693","43873","45547","48921","50774","51006","52806","52486","51245","49279","48186","46850","46719","46369"
"Population ages 00-04, female","Bangladesh","8741259","8883711","8982854","9027777","9030447","8985351","8893689","8772563","8631683","8470918","8292342","8104910","7921761","7763513","7641549","7566968","7547689","7570460","7614705","7672802","7746950","7834808","7941181","8053899","8152508"
"Population ages 00-04, female","Barbados","9097","9194","9333","9410","9398","9306","9161","9028","9002","9011","8963","8891","8773","8551","8322","8179","8087","8023","7975","7930","7887","7845","7807","7769","7729"
"Population ages 00-04, female","Belarus","223627","221472","220467","219287","217373","215711","216345","220852","228303","237800","247085","254750","262154","268989","274571","280100","284993","283561","274667","261657","245257","226476","209460","195463","183200"
"Population ages 00-04, female","Belgium","282498","282157","280937","279818","280198","282169","285895","291528","298095","304279","310513","316391","318055","317715","315742","313161","309865","306034","302457","299570","295938","292878","291448","286936","279745"
"Population ages 00-04, female","Belize","16587","17046","17493","17835","18074","18262","18427","18559","18646","18672","18464","18111","17874","17762","17762","17957","18294","18606","18863","18906","18690","18230","17753","17443","17316"
"Population ages 00-04, female","Benin","632514","647576","663616","680865","699578","720145","742553","765730","788213","809681","831074","852261","874037","897830","923322","949332","974614","997565","1016786","1031863","1043487","1053048","1062240","1072576","1084375"
"Population ages 00-04, female","Bermuda","1917","1931","1940","1933","1904","1865","1816","1753","1705","1682","1691","1702","1672","1616","1556","1510","1479","1458","1430","1402","1392","1383","1358","1336","1317"
"Population ages 00-04, female","Bhutan","36672","35574","34528","33618","32838","32350","32248","32238","32081","31731","31223","30713","30379","30212","30053","29680","29078","28126","26825","25526","24607","24036","23688","23647","23779"
"Population ages 00-04, female","Bolivia","575160","576496","577410","578570","579412","580505","583566","588155","592644","596858","600827","603595","605356","607029","608458","609560","610305","610747","610995","611204","611559","612244","613226","614243","615341"
"Population ages 00-04, female","Bosnia and Herzegovina","114181","112308","108519","103809","100002","97510","95657","93311","90505","87930","85530","82873","80049","77650","75139","72522","70784","69594","68686","68114","67362","66086","64649","63064","61304"
"Population ages 00-04, female","Botswana","104371","105639","107442","109323","111147","113059","115286","117984","121141","124603","128070","131094","132953","133650","133818","133750","133833","134226","134918","135966","137332","140288","143599","145664","147281"
"Population ages 00-04, female","Brazil","8439777","8372800","8268495","8124316","7969298","7832744","7711141","7599831","7500060","7405023","7309974","7226281","7162913","7121398","7102261","7097667","7080498","7052685","7030788","6985469","6893060","6785749","6675328","6544038","6413556"
"Population ages 00-04, female","British Virgin Islands","877","873","848","827","821","826","848","894","953","999","973","959","967","931","906","937","849","725","792","842","832","817","791","796","805"
"Population ages 00-04, female","Brunei Darussalam","15520","15387","15287","15176","15036","14859","14646","14589","14678","14761","14929","15186","15466","15740","15941","16035","16045","15998","15898","15730","15526","15344","15216","15121","15037"
"Population ages 00-04, female","Bulgaria","163864","159735","156938","159245","160085","160321","162212","165536","169352","173346","175516","174266","170673","165172","161998","158795","156128","153891","151756","148900","145824","143322","142046","142128","142440"
"Population ages 00-04, female","Burkina Faso","1079136","1108588","1138539","1170665","1205571","1242225","1282489","1326421","1370876","1414980","1458669","1499845","1538355","1575264","1609758","1640857","1667045","1686583","1696176","1694022","1681168","1665219","1653562","1648962","1654102"
"Population ages 00-04, female","Burundi","577857","585964","602693","628640","660117","695261","733664","773778","815479","860520","906097","947462","984065","1016344","1043112","1059069","1064315","1064795","1063408","1061496","1059090","1059858","1065800","1074853","1084288"
"Population ages 00-04, female","Cabo Verde","29969","29534","29089","28585","28026","27451","26986","26702","26498","26263","25918","25366","24705","24119","23647","23262","23013","22951","23042","23205","23285","22435","20739","19077","17518"
"Population ages 00-04, female","Cambodia","844129","817717","803225","798256","797114","798426","798602","798860","806601","820724","834440","844615","852387","859025","865248","872802","881947","883164","876705","878707","886930","891492","891530","887191","879400"
"Population ages 00-04, female","Cameroon","1266654","1297524","1332192","1370731","1412229","1456731","1503778","1551623","1598374","1642961","1684623","1723086","1758923","1792261","1825302","1862591","1906498","1954819","2004339","2052505","2093941","2125815","2151571","2175582","2200633"
"Population ages 00-04, female","Canada","876384","859362","845032","835361","832158","833904","841894","855659","874197","893943","912189","925714","934851","939204","941499","942557","946455","946673","945384","942715","934704","922611","923341","934505","953183"
"Population ages 00-04, female","Cayman Islands","1384","1425","1476","1533","1598","1651","1683","1718","1758","1782","1810","1858","1906","1943","1968","1967","1950","1929","1907","1887","1868","1907","1996","2072","2133"
"Population ages 00-04, female","Central African Republic","329895","337040","344520","351824","359266","366688","375310","385288","395963","389627","384821","399172","414312","428790","437778","441184","443359","445097","449334","451173","456321","467482","463612","466932","490886"
"Population ages 00-04, female","Chad","867457","896931","924286","953531","987499","1025225","1064256","1104892","1147149","1188376","1227359","1266118","1305570","1345769","1386388","1425046","1461162","1495677","1530435","1566358","1603498","1644590","1691214","1748123","1817975"
"Population ages 00-04, female","Channel Islands","4012","3982","3973","3962","3958","3952","3942","3947","3955","3968","4012","4078","4161","4227","4255","4224","4126","3997","3881","3781","3650","3535","3457","3391","3384"
"Population ages 00-04, female","Chile","643603","630490","618320","606182","594905","584847","575552","570070","570360","574696","580905","587317","591874","593341","592942","591143","588682","584507","578970","569982","551501","524502","500849","480317","459414"
"Population ages 00-04, female","China","39256012","38563962","37915054","37435686","37158195","36893409","36778717","37048916","37586536","38286207","38944357","39501929","40272858","40958147","41351542","41525526","41663403","41700629","40934647","39415269","37286857","34324224","30600067","27167674","24435276"
"Population ages 00-04, female","Colombia","2119299","2107218","2095181","2080132","2063127","2044084","2020705","1993499","1964313","1935381","1906527","1875378","1842271","1807525","1772277","1740394","1714553","1699535","1697066","1702373","1711313","1723705","1735370","1739572","1737691"
"Population ages 00-04, female","Comoros","43965","44809","45515","45708","45476","45315","45413","45789","46474","47386","48394","49464","50585","51605","52364","52863","53195","53585","54084","54553","55049","55558","55979","56336","56712"
"Population ages 00-04, female","Congo, Dem. Rep.","4693963","4810729","4941868","5088619","5237320","5383788","5540596","5712243","5898956","6103994","6322347","6547818","6781583","7021912","7263807","7505835","7752446","8008483","8271045","8533465","8797410","9066731","9331883","9589074","9843682"
"Population ages 00-04, female","Congo, Rep.","251717","257791","263950","271398","280798","291907","303729","315749","328910","344447","361803","378794","393894","405775","414119","418670","420393","421246","422203","423603","425883","429401","433689","438612","444365"
"Population ages 00-04, female","Costa Rica","194699","193463","191277","188110","184426","180995","177924","176028","176201","177236","176972","176510","176726","175369","173309","172635","171983","170131","168635","166375","161304","154198","146644","139119","132405"
"Population ages 00-04, female","Cote d'Ivoire","1598599","1648826","1695227","1735736","1770837","1802108","1831061","1859255","1870230","1872494","1888907","1911114","1927493","1935532","1975728","2047114","2114807","2181480","2234960","2255457","2256110","2258884","2265810","2280356","2301353"
"Population ages 00-04, female","Croatia","117307","110609","106407","102408","99493","98377","98375","98810","100101","102110","103370","103393","103075","101767","99110","95530","92365","88894","85967","83834","82218","81642","81532","81205","80481"
"Population ages 00-04, female","Cuba","348899","349940","349299","345744","339933","332502","323580","313819","304817","298844","297464","301024","305762","307732","306279","302701","296551","289148","283194","276982","269016","260291","251852","243238","235351"
"Population ages 00-04, female","Curacao","5617","5257","5072","4954","4833","4770","4738","4722","4709","4679","4697","4713","4747","4855","4951","4992","4925","4683","4277","3926","3585","3257","3023","2982","2879"
"Population ages 00-04, female","Cyprus","32289","31564","30799","30148","29731","29529","29510","29597","29709","29838","30017","30500","31329","32054","32597","33114","33643","34022","34333","34721","35071","35368","35635","35890","36098"
"Population ages 00-04, female","Czechia","219201","216470","216761","218421","221421","226817","233944","244097","257947","271599","282839","288129","285856","279242","272637","268365","267744","270448","274281","277422","278288","272731","273190","268791","256380"
"Population ages 00-04, female","Denmark","165099","164058","162860","161677","160741","159512","158677","158758","159229","159165","158643","156973","153908","150121","146666","144482","144239","145649","147341","148923","150103","151083","151298","150183","148972"
"Population ages 00-04, female","Djibouti","53848","55180","56737","58117","58990","59389","59450","59191","58642","58112","57730","57422","57190","57039","56939","56822","56691","56590","56513","56429","56370","56378","56410","56441","56619"
"Population ages 00-04, female","Dominica","3224","3085","2977","2893","2822","2758","2694","2634","2593","2572","2547","2501","2441","2396","2350","2296","2232","2146","2073","1999","1929","1874","1831","1803","1775"
"Population ages 00-04, female","Dominican Republic","503813","504067","504828","506234","506053","502416","496493","491233","489067","490563","494755","500522","506225","509799","510600","509638","508088","506524","505425","504284","502552","500270","497020","492529","487147"
"Population ages 00-04, female","Ecuador","769708","771102","771558","771886","771914","771880","772246","773124","775235","779534","784333","789204","792824","789785","779195","765437","748788","732888","725067","721705","716524","709750","700333","686823","672928"
"Population ages 00-04, female","Egypt, Arab Rep.","4508569","4587727","4668408","4742711","4813213","4891548","4976945","5068339","5170235","5286774","5421384","5571257","5739816","5934618","6136267","6319992","6459290","6533963","6503214","6363132","6182113","6002098","5838304","5744965","5743074"
"Population ages 00-04, female","El Salvador","364495","356993","348180","337500","325365","312768","301024","292586","287454","283925","281969","281156","279957","278568","277826","276733","274044","269533","263771","257390","251536","247173","244274","242362","240500"
"Population ages 00-04, female","Equatorial Guinea","58693","60774","63045","65671","68899","72881","77375","82001","86503","90637","94441","98065","101490","104684","107628","110306","112723","114936","117007","118971","120731","122286","123710","124989","126560"
"Population ages 00-04, female","Eritrea","197489","198021","198292","201166","206194","211522","216482","220396","223847","226450","227822","228779","229348","229812","229077","227186","224995","222830","221430","220730","221022","222579","224931","227854","231230"
"Population ages 00-04, female","Estonia","30455","30229","30368","30937","31632","32293","33048","34134","35420","36580","37491","37931","37499","36474","35394","34667","34255","34020","34081","34345","34242","33874","33650","32743","30812"
"Population ages 00-04, female","Eswatini","74473","74756","74981","75022","75006","75021","75190","75654","76124","76138","75669","74941","74082","73247","72688","72419","72208","71861","71393","70919","70679","70668","70598","70373","69976"
"Population ages 00-04, female","Ethiopia","6445026","6581435","6716369","6848173","6976202","7103867","7224173","7329703","7421466","7489551","7532897","7566396","7592062","7610176","7647795","7722841","7834311","7987008","8187589","8426230","8675385","8912706","9130614","9321910","9479473"
"Population ages 00-04, female","Faroe Islands","1652","1667","1675","1711","1724","1709","1713","1722","1716","1692","1634","1582","1535","1510","1528","1565","1609","1693","1779","1822","1822","1805","1772","1728","1701"
"Population ages 00-04, female","Fiji","48236","47905","47727","47766","47932","48206","48531","48757","48934","49049","48919","48482","47811","47124","46521","45988","45493","44903","44121","43200","42292","41469","40722","40084","39580"
"Population ages 00-04, female","Finland","144095","141388","139280","138215","138313","138881","140171","141846","143454","145060","146649","147739","148451","148453","147374","145222","142145","138270","133337","127833","122912","119836","117428","115253","114795"
"Population ages 00-04, female","France","1866060","1891883","1908762","1904679","1902411","1905869","1908715","1918459","1930519","1943292","1953508","1957099","1953581","1943898","1929646","1904424","1876629","1854013","1824633","1791384","1764781","1734463","1714411","1705268","1687980"
"Population ages 00-04, female","French Polynesia","11913","11940","11942","11971","11954","11770","11497","11277","11124","11041","11025","11076","11163","11122","10905","10599","10233","9820","9209","8517","8128","7889","7587","7283","7103"
"Population ages 00-04, female","Gabon","94323","96259","98399","100661","103070","105657","108456","111525","114914","118750","123070","127768","132541","137062","141105","144601","147731","150742","153801","156867","159655","161883","163488","164496","165068"
"Population ages 00-04, female","Gambia, The","130979","132747","134725","136937","139533","142668","146429","150649","155008","159389","163812","168240","172838","177525","181607","184648","186514","187066","186523","185852","185769","186357","187612","189600","191823"
"Population ages 00-04, female","Georgia","124295","119693","116380","113602","111618","110746","110888","112332","115834","120638","125352","128216","129812","130627","131986","134044","136085","137565","137211","134237","129803","124532","119491","114338","108711"
"Population ages 00-04, female","Germany","1946413","1938081","1908647","1876714","1848846","1821361","1770954","1724371","1710111","1711107","1720308","1690541","1672340","1657952","1680413","1728108","1793256","1851560","1893610","1921768","1931586","1929600","1922323","1887455","1840614"
"Population ages 00-04, female","Ghana","1497873","1536017","1578022","1619263","1657534","1693261","1727173","1758206","1787493","1817833","1849058","1882969","1922731","1966139","2007504","2042742","2068459","2079455","2079028","2075481","2070803","2067610","2071689","2081881","2093308"
"Population ages 00-04, female","Gibraltar","805","746","719","768","821","867","917","948","955","950","944","946","956","976","994","999","1006","1018","1018","1016","1017","1028","1054","1089","1131"
"Population ages 00-04, female","Greece","255764","259955","262146","261350","260266","259220","259583","260868","263470","268155","271585","271239","267646","260269","248972","237763","231913","229830","227840","225935","221758","212988","203205","196015","188485"
"Population ages 00-04, female","Greenland","2363","2286","2230","2188","2155","2122","2085","2049","2018","2002","1998","1987","1955","1921","1892","1884","1905","1923","1942","1982","2012","2029","2024","2010","1965"
"Population ages 00-04, female","Grenada","5095","5000","4838","4694","4562","4436","4372","4366","4357","4343","4321","4315","4320","4309","4263","4178","4057","3881","3700","3573","3487","3434","3427","3422","3380"
"Population ages 00-04, female","Guam","8354","8333","8289","8197","8049","7882","7754","7698","7727","7854","7961","7941","7844","7717","7577","7461","7390","7348","7320","7297","7277","7252","7209","7150","7077"
"Population ages 00-04, female","Guatemala","929454","938288","946008","951757","956101","958128","957441","956210","954791","953156","953276","956014","960785","966884","973931","981603","989641","995460","996765","991588","978646","959943","940252","923987","913534"
"Population ages 00-04, female","Guinea","733530","741822","748077","756071","766079","777769","792179","809735","829469","849814","869704","888522","906057","922559","938442","954257","970885","988064","1004795","1021173","1037281","1052436","1066673","1080482","1093195"
"Population ages 00-04, female","Guinea-Bissau","106588","108251","110017","111935","113975","116131","118514","121117","123690","126191","128687","131204","133712","136214","138577","140544","141972","142697","142901","143069","143460","144126","145182","146542","147948"
"Population ages 00-04, female","Guyana","49730","48494","46928","45092","43187","41445","40034","39071","38540","38326","38293","38339","38555","38917","39260","39599","39914","40145","40606","40955","40975","41039","41002","40835","40417"
"Population ages 00-04, female","Haiti","593572","596563","598349","599831","600602","600528","601439","603912","607221","611349","611781","611942","615360","617307","618514","619518","619622","619321","619589","619600","618571","616489","613928","611431","608984"
"Population ages 00-04, female","Honduras","510372","517284","523055","527221","529447","529534","528058","526341","525236","524732","524487","524605","525105","525580","526042","527092","529042","531585","535076","539495","543969","548199","552211","555630","558295"
"Population ages 00-04, female","Hong Kong SAR, China","145558","135223","131143","127747","124073","116069","108825","110471","116949","121373","123384","125351","133648","142463","147091","145897","141663","141191","141168","136708","126916","118411","112695","110520","105942"
"Population ages 00-04, female","Hungary","242132","236492","233666","232858","232689","232889","233840","235324","236781","238369","237360","233114","227683","223066","220020","219574","221566","224073","225691","226101","226154","226253","225036","222261","218410"
"Population ages 00-04, female","Iceland","10515","10505","10402","10345","10326","10337","10435","10663","10989","11243","11399","11448","11421","11398","11259","10951","10682","10537","10371","10311","10419","10694","11063","11384","11612"
"Population ages 00-04, female","India","62827934","63268942","63706359","64002694","64143680","64034841","63609047","62999408","62392179","61913767","61543600","61245138","61010822","60728386","60144295","59422610","58867603","58261386","57658903","57282565","56846872","56195125","55628417","55160392","54737622"
"Population ages 00-04, female","Indonesia","11114341","11071174","11009770","10955713","10939977","10994858","11105504","11243968","11388089","11515853","11624138","11736495","11853649","11935839","11969404","11942426","11837289","11656653","11461162","11295678","11157211","11036858","10941461","10871541","10808559"
"Population ages 00-04, female","Iran, Islamic Rep.","2573293","2538329","2527582","2554906","2624308","2692680","2752478","2822649","2915227","3016478","3109893","3179366","3246359","3330732","3424633","3522601","3613398","3677997","3686810","3615637","3474785","3310243","3153945","3020457","2930877"
"Population ages 00-04, female","Iraq","1973399","2017179","2059187","2095954","2130523","2169921","2167363","2139537","2175733","2251392","2327094","2424406","2555069","2691561","2788552","2839057","2840809","2805163","2760296","2716035","2684422","2675432","2687281","2709576","2733908"
"Population ages 00-04, female","Ireland","129954","133349","136490","139670","142737","145616","148643","153269","159241","165038","170313","173910","174370","172038","168505","164709","161438","158664","156547","154771","152333","150735","149303","146229","143342"
"Population ages 00-04, female","Isle of Man","2087","2033","2033","2034","2008","1982","1997","2041","2093","2155","2209","2257","2288","2261","2172","2058","1967","1917","1879","1846","1798","1756","1738","1724","1715"
"Population ages 00-04, female","Israel","309818","317105","323561","329998","336298","341388","346374","352260","357859","367223","377439","387820","397456","406219","413557","420365","426997","433239","439204","444019","445501","446739","448947","453755","450795"
"Population ages 00-04, female","Italy","1269366","1268019","1275325","1292906","1310874","1324576","1334169","1345797","1358623","1365296","1364129","1355674","1343715","1325859","1296561","1261950","1226677","1191427","1160427","1120157","1083695","1048192","1020333","997244","979347"
"Population ages 00-04, female","Jamaica","137347","132962","129020","125794","123273","121426","119868","118027","115720","113019","110049","106866","103597","100393","97366","94619","92169","89930","87834","85925","84387","83217","82222","81305","80235"
"Population ages 00-04, female","Japan","2876526","2880926","2875340","2858246","2827558","2783446","2735632","2700312","2673826","2651976","2639553","2621311","2592935","2560688","2525037","2488876","2457005","2422579","2377954","2324275","2253450","2170938","2095184","2021923","1961271"
"Population ages 00-04, female","Jordan","385678","380806","377485","377628","380656","384800","406385","430123","440479","451576","463830","476687","480808","502576","548616","581895","590295","585865","582477","577343","572777","571731","570227","568477","564030"
"Population ages 00-04, female","Kazakhstan","589903","580274","581005","592213","614077","643761","679880","722681","769676","811937","846524","875914","898863","915024","930484","946615","960245","969544","977809","991346","1007485","1026792","1038694","1036912","1027646"
"Population ages 00-04, female","Kenya","2649760","2729326","2813677","2896968","2979646","3062455","3143435","3224126","3306230","3385748","3454370","3503201","3526878","3525821","3506950","3480580","3459847","3448811","3442632","3441049","3443384","3449705","3465957","3492622","3528897"
"Population ages 00-04, female","Kiribati","6330","6342","6349","6321","6301","6322","6379","6492","6683","6917","7156","7388","7582","7708","7770","7780","7752","7719","7713","7738","7789","7846","7887","7907","7897"
"Population ages 00-04, female","Korea, Dem. People's Rep.","990947","968956","942981","919430","898429","874632","852380","834395","820775","810694","804721","801197","798085","796065","797337","802802","809352","816083","822097","826980","831018","833618","834036","832268","828719"
"Population ages 00-04, female","Korea, Rep.","1522449","1482115","1423233","1354185","1282747","1198818","1128779","1093896","1082085","1080736","1092895","1107508","1111589","1109869","1107849","1101015","1073419","1023211","970779","918739","851104","774029","710254","660286","624431"
"Population ages 00-04, female","Kosovo","85305","82159","80854","80940","81010","81137","80385","78695","77173","76314","76147","75787","74786","73459","71263","67577","63813","61107","58425","55539","53613","52531","51499","48486","43354"
"Population ages 00-04, female","Kuwait","99729","99339","98481","97047","94887","95870","101955","109300","115876","121229","125832","130775","136845","142947","148307","149983","147608","144590","142098","139222","134437","132413","133190","131706","131438"
"Population ages 00-04, female","Kyrgyz Republic","271092","263496","259424","258438","259872","263494","267969","273046","278525","287015","301311","318753","336230","352704","365705","372344","373356","370797","372740","383226","392950","395269","391916","384613","375697"
"Population ages 00-04, female","Lao PDR","409213","405686","402125","398801","396008","393282","389441","385373","382687","381113","380891","380975","380500","379986","379473","381191","385206","389011","392096","394164","394353","392934","391103","389141","387145"
"Population ages 00-04, female","Latvia","46370","46268","46798","47784","48616","49228","50283","51919","53633","54534","53732","51854","50043","48673","48361","49340","50836","51741","51443","50263","48439","46254","44284","42160","39640"
"Population ages 00-04, female","Lebanon","219220","220555","221095","221055","220688","219281","217677","216555","215250","214395","214837","217711","225656","250375","279759","291305","289950","281526","267481","248669","233681","226076","221240","219384","221105"
"Population ages 00-04, female","Lesotho","130476","128762","127432","126628","126098","125483","125232","125643","126443","127669","129306","131635","134103","136124","138019","139783","140937","141274","140930","139908","138407","136399","134123","132125","130609"
"Population ages 00-04, female","Liberia","249739","257278","263645","264791","266834","278302","294239","309571","321823","330479","337513","344304","350867","356015","359757","362434","364788","365945","366609","368365","370988","374027","377400","381364","385583"
"Population ages 00-04, female","Libya","262041","269794","278689","288516","299260","310214","319743","327902","335359","341671","348020","346789","342270","343416","345469","346094","343754","341673","339980","335785","330406","325126","319698","313490","307228"
"Population ages 00-04, female","Liechtenstein","1040","1017","990","955","928","911","901","899","892","881","865","858","858","857","856","851","847","841","847","870","908","922","915","907","896"
"Population ages 00-04, female","Lithuania","89482","85598","81693","78155","74896","71978","70347","70098","70634","71549","72048","72268","73037","73688","73648","73713","73789","73235","72528","71684","69724","66870","64674","62693","60106"
"Population ages 00-04, female","Luxembourg","13735","13734","13647","13548","13500","13393","13371","13500","13716","13894","14123","14401","14600","14913","15272","15489","15555","15696","15841","16064","16275","16452","16660","16863","17108"
"Population ages 00-04, female","Macao SAR, China","11352","10317","9546","9087","8917","9070","9546","10047","10557","10568","10638","10988","11847","13101","14547","15888","16786","16898","17100","17198","17013","16003","14713","13653","12741"
"Population ages 00-04, female","Madagascar","1508328","1541095","1567542","1589091","1609711","1633050","1659720","1690371","1725568","1764605","1804632","1840576","1870587","1896599","1918927","1939424","1964524","1997247","2036356","2081088","2129632","2177855","2222289","2261235","2294991"
"Population ages 00-04, female","Malawi","1039575","1061367","1085545","1111960","1141873","1176747","1215458","1255427","1295660","1332994","1363464","1386858","1404125","1417174","1426800","1432770","1435985","1439224","1444459","1453399","1468433","1488784","1511941","1535939","1560566"
"Population ages 00-04, female","Malaysia","1277244","1270226","1267504","1266367","1265277","1264514","1263445","1261232","1256360","1244929","1228014","1214341","1209315","1214283","1229177","1250819","1276968","1300477","1313543","1307004","1268045","1207958","1149954","1103721","1078077"
"Population ages 00-04, female","Maldives","15148","14437","13871","13463","13209","13067","13099","13393","13902","14529","15217","15895","16461","16841","17045","17171","17190","17040","16772","16400","15936","15442","15013","14643","14296"
"Population ages 00-04, female","Mali","1056656","1095974","1138633","1184102","1231393","1280524","1331063","1381673","1431990","1481487","1530461","1579391","1626878","1672314","1716374","1758710","1799899","1840629","1880453","1914879","1946419","1981304","2017621","2056602","2101699"
"Population ages 00-04, female","Malta","10889","10698","10483","10251","10028","9773","9560","9485","9471","9514","9585","9722","9978","10143","10291","10540","10762","10916","11159","11439","11312","10989","11004","11146","11329"
"Population ages 00-04, female","Marshall Islands","3770","3849","3876","3857","3797","3716","3663","3650","3656","3658","3646","3586","3452","3274","3073","2868","2678","2514","2387","2306","2262","2216","2152","2070","1945"
"Population ages 00-04, female","Mauritania","217151","219978","223874","228904","235004","241947","249508","257880","267804","278845","290035","301297","312120","321333","329178","336746","344029","351022","358226","365761","373201","380536","387782","394975","402122"
"Population ages 00-04, female","Mauritius","48055","47319","46660","46417","45975","45202","44303","43179","41830","40256","38571","37152","36183","35375","34583","33773","32909","32065","31328","30821","30612","30783","30785","30470","29933"
"Population ages 00-04, female","Mexico","5610876","5616148","5630936","5644912","5648803","5635395","5608264","5580864","5560359","5549779","5547967","5554627","5566275","5577222","5573402","5539232","5476090","5392412","5301352","5222789","5165310","5125318","5095425","5062835","5019427"
"Population ages 00-04, female","Micronesia, Fed. Sts.","7795","7815","7716","7501","7238","6981","6777","6614","6463","6367","6298","6229","6191","6159","6097","6029","5978","5938","5911","5890","5880","5880","5878","5875","5861"
"Population ages 00-04, female","Moldova","89070","84765","81675","80225","80509","81806","83194","84378","85209","85733","86221","87059","88472","90641","93424","95604","96919","96306","93907","90105","85663","80566","74768","69522","64768"
"Population ages 00-04, female","Monaco","690","703","743","775","800","798","753","680","629","646","700","751","793","814","814","810","826","851","867","890","905","887","879","887","887"
"Population ages 00-04, female","Mongolia","122987","120162","118364","117316","116947","117335","118663","121544","126665","134496","144532","153614","161346","169701","177416","183158","188555","192815","193961","193727","191022","185763","180373","175114","169384"
"Population ages 00-04, female","Montenegro","20395","20162","20002","19899","19777","19568","19199","18799","18531","18487","18722","18936","18945","18872","18724","18501","18411","18415","18278","18088","17919","17739","17583","17455","17264"
"Population ages 00-04, female","Morocco","1538122","1528682","1518525","1507157","1505471","1514798","1528072","1547691","1572358","1598170","1623722","1645671","1660238","1665418","1660425","1647270","1632591","1619761","1608478","1599513","1592082","1582687","1570044","1555579","1539194"
"Population ages 00-04, female","Mozambique","1605318","1644749","1681271","1715475","1748186","1780712","1814979","1854168","1904882","1969256","2041419","2116698","2191871","2260064","2316144","2365203","2414304","2465246","2518272","2575156","2635601","2697220","2758919","2819161","2876907"
"Population ages 00-04, female","Myanmar","2364873","2360041","2359613","2358519","2350352","2333439","2308623","2279086","2242344","2212283","2197863","2188077","2179882","2174074","2170883","2171450","2178041","2187034","2193717","2196291","2192808","2182456","2168007","2152606","2136998"
"Population ages 00-04, female","Namibia","131255","132259","132879","132389","131153","130297","130549","132093","134789","138334","142322","146667","151837","157347","162490","167268","171973","177065","182277","187396","193328","200018","204627","204853","202813"
"Population ages 00-04, female","Nauru","648","634","616","606","609","618","631","649","666","686","710","736","763","784","795","794","781","758","727","718","732","737","738","738","730"
